id,url_id,user_id,event_type,timestamp,details
1,1,1,created,20-04-2025 09:26,"{""short_code"":""Ch3lrL"",""original_url"":""https://opswise.net/urban/yard/1""}"
2,2,323,created,02-03-2025 21:21,"{""short_code"":""3YzDvP"",""original_url"":""https://acme.dev/amber/lagoon/2""}"
3,3,93,created,22-09-2025 11:05,"{""short_code"":""mezAjd"",""original_url"":""https://relay.cloud/young/garden/3""}"
4,4,167,created,15-09-2025 18:32,"{""short_code"":""53zPFh"",""original_url"":""https://acme.dev/tidy/orbit/4""}"
5,5,326,created,24-10-2025 02:29,"{""short_code"":""5JTN1X"",""original_url"":""https://seeded.app/silver/delta/5""}"
6,6,249,created,07-06-2025 18:58,"{""short_code"":""p549Bf"",""original_url"":""https://hackstack.io/navy/kernel/6""}"
7,7,104,created,30-06-2025 16:19,"{""short_code"":""HFLhT1"",""original_url"":""https://hackstack.io/keen/lagoon/7""}"
8,8,370,created,25-12-2025 19:28,"{""short_code"":""CMmOAb"",""original_url"":""https://acme.dev/mellow/signal/8""}"
9,9,143,created,01-01-2026 10:06,"{""short_code"":""1xekGd"",""original_url"":""https://relay.cloud/jade/network/9""}"
10,10,177,created,04-07-2025 13:09,"{""short_code"":""RXQQFE"",""original_url"":""https://acme.dev/mellow/kernel/10""}"
11,11,58,created,25-07-2025 23:02,"{""short_code"":""ITcdtH"",""original_url"":""https://opswise.net/mellow/trail/11""}"
12,12,280,created,26-08-2025 05:30,"{""short_code"":""CmmBNq"",""original_url"":""https://seeded.app/amber/anchor/12""}"
13,13,182,created,07-01-2026 13:47,"{""short_code"":""0G7KZy"",""original_url"":""https://hackstack.io/brisk/kernel/13""}"
14,14,256,created,16-10-2025 15:27,"{""short_code"":""nPRu48"",""original_url"":""https://hackstack.io/rapid/quartz/14""}"
15,15,196,created,29-08-2025 17:33,"{""short_code"":""jotVdp"",""original_url"":""https://seeded.app/vivid/kernel/15""}"
16,16,307,created,24-12-2025 21:26,"{""short_code"":""D7j8b2"",""original_url"":""https://opswise.net/dawn/window/16""}"
17,17,334,created,10-03-2025 16:19,"{""short_code"":""6GPFap"",""original_url"":""https://example.com/clear/trail/17""}"
18,18,341,created,24-08-2025 22:02,"{""short_code"":""4cruaA"",""original_url"":""https://acme.dev/warm/canyon/18""}"
19,19,77,created,23-06-2025 01:39,"{""short_code"":""jydKhr"",""original_url"":""https://acme.dev/jade/orbit/19""}"
20,20,79,created,07-04-2025 23:34,"{""short_code"":""fSAZpZ"",""original_url"":""https://opswise.net/cobalt/yard/20""}"
21,21,269,created,19-05-2025 22:15,"{""short_code"":""5sVAej"",""original_url"":""https://hackstack.io/keen/uplink/21""}"
22,22,28,created,17-02-2026 06:36,"{""short_code"":""F4kcje"",""original_url"":""https://seeded.app/harbor/journey/22""}"
23,23,108,created,04-04-2025 09:35,"{""short_code"":""FhHXBr"",""original_url"":""https://opswise.net/quiet/engine/23""}"
24,24,209,created,26-04-2025 23:11,"{""short_code"":""j1RzRq"",""original_url"":""https://seeded.app/jade/kernel/24""}"
25,25,212,created,10-06-2025 17:50,"{""short_code"":""5uKxBU"",""original_url"":""https://relay.cloud/harbor/harvest/25""}"
26,26,181,created,20-07-2025 16:58,"{""short_code"":""8P0yG5"",""original_url"":""https://example.com/brisk/island/26""}"
27,27,58,created,07-02-2026 12:18,"{""short_code"":""VFtToK"",""original_url"":""https://hackstack.io/harbor/pioneer/27""}"
28,28,232,created,07-04-2025 19:53,"{""short_code"":""xYBQpZ"",""original_url"":""https://seeded.app/harbor/island/28""}"
29,29,43,created,29-07-2025 19:20,"{""short_code"":""9cEuxw"",""original_url"":""https://opswise.net/jade/valley/29""}"
30,30,256,created,18-06-2025 16:07,"{""short_code"":""2SWw82"",""original_url"":""https://relay.cloud/jade/yard/30""}"
31,31,47,created,31-03-2025 02:48,"{""short_code"":""xQmoeG"",""original_url"":""https://seeded.app/rapid/anchor/31""}"
32,32,46,created,30-06-2025 02:44,"{""short_code"":""J4eBFW"",""original_url"":""https://opswise.net/vivid/island/32""}"
33,33,261,created,16-02-2026 23:27,"{""short_code"":""PRAMnO"",""original_url"":""https://hackstack.io/dawn/beacon/33""}"
34,34,356,created,07-09-2025 05:46,"{""short_code"":""1cpRcn"",""original_url"":""https://example.com/ivory/engine/34""}"
35,35,64,created,03-10-2025 20:51,"{""short_code"":""ZAWOaD"",""original_url"":""https://seeded.app/forest/canyon/35""}"
36,36,133,created,25-07-2025 13:57,"{""short_code"":""J6slQQ"",""original_url"":""https://opswise.net/proud/engine/36""}"
37,37,365,created,18-03-2025 06:07,"{""short_code"":""UUfFTZ"",""original_url"":""https://hackstack.io/mellow/delta/37""}"
38,38,12,created,04-03-2025 12:30,"{""short_code"":""FVeCPq"",""original_url"":""https://relay.cloud/warm/harvest/38""}"
39,39,87,created,04-02-2026 14:40,"{""short_code"":""uQNQUh"",""original_url"":""https://hackstack.io/forest/window/39""}"
40,40,168,created,06-03-2025 10:13,"{""short_code"":""B5kwDq"",""original_url"":""https://example.com/jade/lagoon/40""}"
41,41,106,created,27-01-2025 07:35,"{""short_code"":""0NlMOe"",""original_url"":""https://acme.dev/dawn/beacon/41""}"
42,42,173,created,14-02-2025 20:41,"{""short_code"":""x5W6sD"",""original_url"":""https://opswise.net/tidy/quartz/42""}"
43,43,356,created,15-09-2025 00:40,"{""short_code"":""eHdxww"",""original_url"":""https://hackstack.io/amber/signal/43""}"
44,44,44,created,24-11-2025 12:59,"{""short_code"":""mfb6Ef"",""original_url"":""https://hackstack.io/warm/zenith/44""}"
45,45,254,created,31-07-2025 01:28,"{""short_code"":""8kTlsc"",""original_url"":""https://hackstack.io/calm/lagoon/45""}"
46,46,271,created,27-06-2025 09:44,"{""short_code"":""jSJxH8"",""original_url"":""https://seeded.app/ivory/meadow/46""}"
47,47,53,created,30-04-2025 17:24,"{""short_code"":""8nJ4pL"",""original_url"":""https://opswise.net/warm/lagoon/47""}"
48,48,348,created,04-08-2025 12:58,"{""short_code"":""WKGlqS"",""original_url"":""https://seeded.app/cobalt/quartz/48""}"
49,49,59,created,21-07-2025 03:36,"{""short_code"":""HL0j8K"",""original_url"":""https://opswise.net/brisk/network/49""}"
50,50,206,created,31-07-2025 13:55,"{""short_code"":""jIjWnc"",""original_url"":""https://seeded.app/lively/meadow/50""}"
51,51,271,created,04-12-2025 13:39,"{""short_code"":""mA3v6s"",""original_url"":""https://opswise.net/tidy/field/51""}"
52,52,129,created,16-08-2025 03:32,"{""short_code"":""Tmtrp8"",""original_url"":""https://example.com/vivid/garden/52""}"
53,53,200,created,17-08-2025 19:05,"{""short_code"":""QWkUW0"",""original_url"":""https://acme.dev/gold/orbit/53""}"
54,54,32,created,09-06-2025 15:47,"{""short_code"":""FWBKpG"",""original_url"":""https://hackstack.io/rapid/zenith/54""}"
55,55,209,created,03-11-2025 22:57,"{""short_code"":""QkiylQ"",""original_url"":""https://hackstack.io/brisk/island/55""}"
56,56,337,created,25-11-2025 15:36,"{""short_code"":""VWf1Ao"",""original_url"":""https://opswise.net/silver/network/56""}"
57,57,39,created,30-10-2025 23:15,"{""short_code"":""68tgNB"",""original_url"":""https://hackstack.io/brisk/meadow/57""}"
58,58,327,created,18-09-2025 05:33,"{""short_code"":""aMT03m"",""original_url"":""https://relay.cloud/urban/lagoon/58""}"
59,59,249,created,16-09-2025 23:21,"{""short_code"":""Epkf9A"",""original_url"":""https://hackstack.io/cobalt/uplink/59""}"
60,60,288,created,29-06-2025 03:13,"{""short_code"":""X42wB1"",""original_url"":""https://acme.dev/silver/network/60""}"
61,61,233,created,17-01-2025 23:17,"{""short_code"":""dWdfuj"",""original_url"":""https://acme.dev/young/valley/61""}"
62,62,125,created,21-04-2025 20:35,"{""short_code"":""91c9Ra"",""original_url"":""https://seeded.app/urban/trail/62""}"
63,63,354,created,09-06-2025 11:39,"{""short_code"":""I2xpYl"",""original_url"":""https://example.com/urban/engine/63""}"
64,64,322,created,07-06-2025 12:46,"{""short_code"":""iuqxKl"",""original_url"":""https://example.com/ivory/uplink/64""}"
65,65,324,created,25-09-2025 14:21,"{""short_code"":""MjmheF"",""original_url"":""https://seeded.app/quiet/engine/65""}"
66,66,155,created,14-11-2025 01:38,"{""short_code"":""bCka8k"",""original_url"":""https://seeded.app/gold/kernel/66""}"
67,67,173,created,20-03-2025 07:03,"{""short_code"":""ZhZFGH"",""original_url"":""https://relay.cloud/urban/uplink/67""}"
68,68,201,created,03-02-2025 12:42,"{""short_code"":""EHm1bB"",""original_url"":""https://opswise.net/tidy/valley/68""}"
69,69,227,created,02-07-2025 22:10,"{""short_code"":""Xgd0eO"",""original_url"":""https://seeded.app/young/quartz/69""}"
70,70,170,created,06-02-2025 06:58,"{""short_code"":""emzAZP"",""original_url"":""https://seeded.app/rapid/harvest/70""}"
71,71,386,created,29-07-2025 09:10,"{""short_code"":""hwFLry"",""original_url"":""https://hackstack.io/gold/window/71""}"
72,72,123,created,01-02-2026 09:19,"{""short_code"":""4acdFj"",""original_url"":""https://hackstack.io/urban/zenith/72""}"
73,73,46,created,25-10-2025 09:46,"{""short_code"":""T7VfAV"",""original_url"":""https://hackstack.io/rapid/beacon/73""}"
74,74,166,created,16-02-2025 18:33,"{""short_code"":""VP6ZQz"",""original_url"":""https://example.com/amber/beacon/74""}"
75,75,125,created,17-06-2025 04:10,"{""short_code"":""FPtfmu"",""original_url"":""https://example.com/cobalt/valley/75""}"
76,76,236,created,14-07-2025 13:00,"{""short_code"":""E8RsFq"",""original_url"":""https://opswise.net/cobalt/yard/76""}"
77,77,332,created,03-07-2025 16:31,"{""short_code"":""O31cGH"",""original_url"":""https://example.com/rapid/lagoon/77""}"
78,78,27,created,25-07-2025 07:27,"{""short_code"":""xu8ZKo"",""original_url"":""https://seeded.app/warm/kernel/78""}"
79,79,2,created,14-04-2025 23:58,"{""short_code"":""G77u74"",""original_url"":""https://opswise.net/harbor/pioneer/79""}"
80,80,193,created,12-07-2025 02:30,"{""short_code"":""vsK6Up"",""original_url"":""https://acme.dev/forest/quartz/80""}"
81,81,251,created,14-08-2025 22:39,"{""short_code"":""dB0jaS"",""original_url"":""https://acme.dev/lively/network/81""}"
82,82,109,created,10-09-2025 06:07,"{""short_code"":""ywy21F"",""original_url"":""https://acme.dev/forest/anchor/82""}"
83,83,250,created,30-06-2025 16:42,"{""short_code"":""vn8eVy"",""original_url"":""https://acme.dev/jade/zenith/83""}"
84,84,19,created,26-06-2025 17:37,"{""short_code"":""3cEvye"",""original_url"":""https://acme.dev/ember/kernel/84""}"
85,85,36,created,18-12-2025 11:17,"{""short_code"":""loxTAD"",""original_url"":""https://acme.dev/vivid/delta/85""}"
86,86,45,created,11-04-2025 14:13,"{""short_code"":""Iruw8t"",""original_url"":""https://example.com/lively/quartz/86""}"
87,87,136,created,06-07-2025 16:17,"{""short_code"":""cwQtrP"",""original_url"":""https://hackstack.io/forest/journey/87""}"
88,88,229,created,11-02-2025 06:59,"{""short_code"":""TZKElg"",""original_url"":""https://relay.cloud/cobalt/delta/88""}"
89,89,289,created,08-01-2026 01:49,"{""short_code"":""9J4Dk1"",""original_url"":""https://acme.dev/dawn/signal/89""}"
90,90,384,created,21-01-2025 07:47,"{""short_code"":""JVELO1"",""original_url"":""https://acme.dev/urban/beacon/90""}"
91,91,213,created,06-02-2026 01:48,"{""short_code"":""IyiNA0"",""original_url"":""https://opswise.net/warm/signal/91""}"
92,92,260,created,11-01-2025 00:07,"{""short_code"":""1jcUJ6"",""original_url"":""https://example.com/clear/canyon/92""}"
